time,x
5.62500,2099.00
5.65625,2103.00
5.68750,2099.00
5.71875,2098.00
5.75000,2097.00
5.78125,2102.00
5.81250,2097.00
5.84375,2101.00
5.87500,2098.00
5.90625,2096.00
5.93750,2102.00
5.96875,2097.00
6.00000,2101.00
6.03125,2099.00
6.06250,2100.00
6.09375,2112.00
6.12500,2098.00
6.15625,2096.00
6.18750,2101.00
6.21875,2102.00
6.25000,2100.00
6.28125,2110.00
6.31250,2090.00
6.34375,2093.00
6.37500,2103.00
6.40625,2098.00
6.43750,2124.00
6.46875,2110.00
6.50000,2112.00
6.53125,2115.00
6.56250,2159.00
6.59375,2085.00
6.62500,2142.00
6.65625,2145.00
6.68750,2131.00
6.71875,2131.00
6.75000,2128.00
6.78125,2135.00
6.81250,2134.00
6.84375,2132.00
6.87500,2135.00
6.90625,2147.00
6.93750,2136.00
6.96875,2137.00
7.00000,2139.00
7.03125,2137.00
7.06250,2142.00
7.09375,2129.00
7.12500,2138.00
7.15625,2192.00
7.18750,2146.00
7.21875,2149.00
7.25000,2161.00
7.28125,2160.00
7.31250,2159.00
7.34375,2171.00
7.37500,2161.00
7.40625,2176.00
7.43750,2175.00
7.46875,2167.00
7.50000,2170.00
7.53125,2171.00
7.56250,2167.00
7.59375,2174.00
7.62500,2163.00
7.65625,2172.00
7.68750,2178.00
7.71875,2167.00
7.75000,2170.00
7.78125,2171.00
7.81250,2162.00
7.84375,2243.00
7.87500,2181.00
7.90625,2176.00
7.93750,2173.00
7.96875,2186.00
8.00000,2183.00
8.03125,2187.00
8.06250,2192.00
8.09375,2186.00
8.12500,2189.00
8.15625,2192.00
8.18750,2192.00
8.21875,2191.00
8.25000,2187.00
8.28125,2190.00
8.31250,2191.00
8.34375,2192.00
8.37500,2178.00
8.40625,2182.00
8.43750,2180.00
8.46875,2181.00
8.50000,2192.00
8.53125,2183.00
8.56250,2176.00
8.59375,2186.00
8.62500,2183.00
8.65625,2182.00
8.68750,2183.00
8.71875,2183.00
8.75000,2178.00
8.78125,2178.00
8.81250,2176.00
8.84375,2181.00
8.87500,2176.00
8.90625,2176.00
8.93750,2178.00
8.96875,2176.00
9.00000,2176.00
9.03125,2176.00
9.06250,2176.00
9.09375,2175.00
9.12500,2173.00
9.15625,2175.00
9.18750,2173.00
9.21875,2179.00
9.25000,2173.00
9.28125,2173.00
9.31250,2174.00
9.34375,2174.00
9.37500,2165.00
9.40625,2171.00
9.43750,2172.00
9.46875,2175.00
9.50000,2167.00
9.53125,2173.00
9.56250,2171.00
9.59375,2170.00
9.62500,2169.00
9.65625,2171.00
9.68750,2167.00
9.71875,2170.00
9.75000,2165.00
9.78125,2170.00
9.81250,2170.00
9.84375,2167.00
9.87500,2169.00
9.90625,2171.00
9.93750,2158.00
9.96875,2167.00
10.00000,2164.00
10.03125,2166.00
10.06250,2167.00
10.09375,2166.00
10.12500,2162.00
10.15625,2150.00
10.18750,2163.00
10.21875,2161.00
10.25000,2162.00
10.28125,2161.00
10.31250,2163.00
10.34375,2163.00
10.37500,2160.00
10.40625,2162.00
10.43750,2160.00
10.46875,2162.00
10.50000,2160.00
10.53125,2160.00
10.56250,2160.00
10.59375,2160.00
10.62500,2161.00
10.65625,2164.00
10.68750,2160.00
10.71875,2163.00
10.75000,2158.00
10.78125,2160.00
10.81250,2160.00
10.84375,2160.00
10.87500,2157.00
10.90625,2160.00
10.93750,2158.00
10.96875,2157.00
11.00000,2160.00
11.03125,2155.00
11.06250,2160.00
11.09375,2160.00
11.12500,2154.00
11.15625,2111.00
11.18750,2161.00
11.21875,2160.00
11.25000,2131.00
11.28125,2160.00
11.31250,2160.00
11.34375,2155.00
11.37500,2154.00
11.40625,2175.00
11.43750,2159.00
11.46875,2159.00
11.50000,2158.00
11.53125,2155.00
11.56250,2146.00
11.59375,2157.00
11.62500,2158.00
11.65625,2160.00
11.68750,2183.00
11.71875,2147.00
11.75000,2178.00
11.78125,2170.00
11.81250,2172.00
11.84375,2174.00
11.87500,2174.00
11.90625,2176.00
11.93750,2173.00
11.96875,2182.00
12.00000,2182.00
12.03125,2175.00
12.06250,2178.00
12.09375,2175.00
12.12500,2172.00
12.15625,2176.00
12.18750,2174.00
12.21875,2175.00
12.25000,2174.00
12.28125,2175.00
12.31250,2174.00
12.34375,2179.00
12.37500,2173.00
12.40625,2176.00
12.43750,2173.00
12.46875,2172.00
12.50000,2151.00
12.53125,2174.00
12.56250,2177.00
12.59375,2174.00
12.62500,2176.00
12.65625,2177.00
12.68750,2180.00
12.71875,2176.00
12.75000,2177.00
12.78125,2181.00
12.81250,2178.00
12.84375,2179.00
12.87500,2178.00
12.90625,2180.00
12.93750,2179.00
12.96875,2179.00
13.00000,2177.00
13.03125,2177.00
13.06250,2178.00
13.09375,2180.00
13.12500,2177.00
13.15625,2177.00
13.18750,2179.00
13.21875,2175.00
13.25000,2176.00
13.28125,2181.00
13.31250,2171.00
13.34375,2176.00
13.37500,2174.00
13.40625,2176.00
13.43750,2176.00
13.46875,2176.00
13.50000,2172.00
13.53125,2175.00
13.56250,2175.00
13.59375,2174.00
13.62500,2174.00
13.65625,2174.00
13.68750,2175.00
13.71875,2180.00
13.75000,2172.00
13.78125,2174.00
13.81250,2174.00
13.84375,2174.00
13.87500,2170.00
13.90625,2172.00
13.93750,2171.00
13.96875,2172.00
14.00000,2169.00
14.03125,2171.00
14.06250,2175.00
14.09375,2166.00
14.12500,2165.00
14.15625,2167.00
14.18750,2167.00
14.21875,2165.00
14.25000,2165.00
14.28125,2171.00
14.31250,2166.00
14.34375,2163.00
14.37500,2162.00
14.40625,2167.00
14.43750,2163.00
14.46875,2164.00
14.50000,2160.00
14.53125,2161.00
14.56250,2170.00
14.59375,2162.00
14.62500,2161.00
14.65625,2164.00
14.68750,2161.00
14.71875,2161.00
14.75000,2162.00
14.78125,2160.00
14.81250,2160.00
14.84375,2162.00
14.87500,2160.00
14.90625,2162.00
14.93750,2160.00
14.96875,2161.00
15.00000,2160.00
15.03125,2160.00
15.06250,2161.00
15.09375,2162.00
15.12500,2161.00
15.15625,2160.00
15.18750,2160.00
15.21875,2160.00
15.25000,2160.00
15.28125,2158.00
15.31250,2159.00
15.34375,2160.00
15.37500,2158.00
15.40625,2160.00
15.43750,2159.00
15.46875,2160.00
15.50000,2158.00
15.53125,2160.00
15.56250,2161.00
15.59375,2160.00
15.62500,2157.00
15.65625,2158.00
15.68750,2160.00
15.71875,2160.00
15.75000,2158.00
15.78125,2158.00
15.81250,2160.00
15.84375,2159.00
15.87500,2153.00
15.90625,2157.00
15.93750,2157.00
15.96875,2158.00
16.00000,2156.00
16.03125,2158.00
16.06250,2159.00
16.09375,2153.00
16.12500,2157.00
16.15625,2158.00
