time,x,ema_signal,fir_signal
5.9375,2102.0,2099.5720911913395,2099.861994595845
5.96875,2097.0,2098.427510611193,2099.653749881752
6.0,2101.0,2099.572268389212,2099.3806199463106
6.03125,2099.0,2099.317608956013,2099.133856865541
6.0625,2100.0,2099.621272970587,2098.962615328894
6.09375,2112.0,2105.129806498676,2098.8677306717923
6.125,2098.0,2101.957042606765,2098.8072281185705
6.15625,2096.0,2099.3061586467543,2098.764964715638
6.1875,2101.0,2100.059918048949,2098.8169896107747
6.21875,2102.0,2100.9232545171667,2099.0703995431827
6.25,2100.0,2100.512406257028,2099.5698617167873
6.28125,2110.0,2104.7343854726505,2100.2338228420967
6.3125,2090.0,2098.1775839373213,2100.865872643347
6.34375,2093.0,2095.8735590852134,2101.2748004717528
6.375,2103.0,2099.0448252922934,2101.4192280523544
6.40625,2098.0,2098.579878037223,2101.3603327543515
6.4375,2124.0,2109.891832310658,2101.181657560414
6.46875,2110.0,2109.939966932416,2100.9001393185195
6.5,2112.0,2110.8566816474904,2100.4651605517333
6.53125,2115.0,2112.700458314357,2099.9382394414038
6.5625,2159.0,2133.303754364468,2099.5566601922364
6.59375,2085.0,2111.80858367228,2099.644822280095
6.625,2142.0,2125.2437639381155,2100.5567527237017
6.65625,2145.0,2134.035288985654,2102.6094721443833
6.6875,2131.0,2132.684585387038,2105.7493627577833
6.71875,2131.0,2131.934944889806,2109.5654416913276
6.75,2128.0,2130.1838944138426,2113.5418904686344
6.78125,2135.0,2132.327061399683,2117.326149609001
6.8125,2134.0,2133.071519076824,2120.8056310613497
6.84375,2132.0,2132.5946930876376,2123.992534981539
6.875,2135.0,2133.665054663639,2126.88370110463
6.90625,2147.0,2139.5991053383195,2129.33982405265
6.9375,2136.0,2137.997503462768,2131.1468575625836
6.96875,2137.0,2137.553614421836,2132.207687962184
7.0,2139.0,2138.197256004119,2132.671448145681
7.03125,2137.0,2137.664477082286,2132.912776642315
7.0625,2142.0,2139.593784780669,2133.317752480945
7.09375,2129.0,2134.879550553271,2134.0963574511143
7.125,2138.0,2136.2681505570654,2135.2338123618806
7.15625,2192.0,2161.0688235591715,2136.5435944444916
7.1875,2146.0,2154.3631970753404,2137.5635590699717
7.21875,2149.0,2151.976574376814,2137.971207269635
7.25,2161.0,2155.991998779132,2137.9871326762195
7.28125,2160.0,2157.7755593224183,2138.1799126536675
7.3125,2159.0,2158.3204354239424,2139.187869340028
7.34375,2171.0,2163.962841660288,2141.4052716848014
7.375,2161.0,2162.64437712146,2144.742968739084
7.40625,2176.0,2168.5876293024103,2148.6377917597165
7.4375,2175.0,2171.4411342628377,2152.34141998224
7.46875,2167.0,2169.464829515875,2155.2905783466886
7.5,2170.0,2169.7029803813107,2157.4043559666616
7.53125,2171.0,2170.280154111628,2159.039311641008
7.5625,2167.0,2168.820485531953,2160.7051731882416
7.59375,2174.0,2171.125369470234,2162.7414490074575
7.625,2163.0,2167.50958005598,2165.0984444096985
7.65625,2172.0,2169.5078169310686,2167.3915756621905
7.6875,2178.0,2173.286838396743,2169.1575940433736
7.71875,2167.0,2170.4891953101924,2170.1307785341573
7.75,2170.0,2170.2715033971567,2170.41340805703
7.78125,2171.0,2170.595684385422,2170.2674077271936
7.8125,2162.0,2166.770604833909,2169.9753717840717
7.84375,2243.0,2200.6926856828195,2169.8126457057706
7.875,2181.0,2191.929440553965,2169.8274155658078
7.90625,2176.0,2184.8408395074503,2169.8629913118866
7.9375,2173.0,2179.571665926635,2170.0267138111094
7.96875,2186.0,2182.4322745892823,2170.7467679380447
8.0,2183.0,2182.6849123970514,2172.544545976471
8.03125,2187.0,2184.605126380364,2175.5964725588715
8.0625,2192.0,2187.8958451411017,2179.452007817727
8.09375,2186.0,2187.052194053312,2183.1478063389523
8.125,2189.0,2187.918967699588,2185.6764084222386
8.15625,2192.0,2189.735027073272,2186.524403878409
8.1875,2192.0,2190.7429400256656,2185.9459607033687
8.21875,2191.0,2190.8573317142445,2184.7914745788908
8.25,2187.0,2189.1408191014057,2184.0487765331877
8.28125,2190.0,2189.52315460128,2184.3324930545987
8.3125,2191.0,2190.1803508037106,2185.5953288545766
8.34375,2192.0,2190.99009469606,2187.2797613525163
8.375,2178.0,2185.209502556313,2188.7417057448097
8.40625,2182.0,2183.781273918754,2189.641917819301
8.4375,2180.0,2182.098607024908,2190.1137644720643
8.46875,2181.0,2181.609726898824,2190.333411385046
8.5,2192.0,2186.2333984288475,2190.3045601696103
8.53125,2183.0,2184.7945361280103,2189.9196524569456
8.5625,2176.0,2180.8809675510456,2189.0728483527932
8.59375,2186.0,2183.15893699083,2187.797134162252
8.625,2183.0,2183.088210029911,2186.2971789000244
8.65625,2182.0,2182.6039565666006,2184.871665885275
8.6875,2183.0,2182.780195894464,2183.785678745667
8.71875,2183.0,2182.8780087214272,2183.1668361459324
8.75,2178.0,2180.707294840392,2182.967240558929
